,title,artist,date,medium,dimension,image_path
48,Pushing Sculpture,Ger van Elk,1981,"Shaped canvas, photograph and acrylic paint",152.4 × 274.3 cm (60 × 108 in.),Dataset\Ger van Elk\pushing-sculpture
49,Otium cum Dignitade,Hans Hofmann,1964,Oil on canvas,"213.4 × 182.8 cm (84 × 72 in.), unframed",Dataset\Hans Hofmann\otium-cum-dignitade
50,Painting,Franz Kline,1952,Oil on canvas,195.6 × 254 cm (77 × 100 in.),Dataset\Franz Kline\painting
51,Curving Function Greenish Brown,Georges Vantongerloo,1938,Oil on hardboard,24 3/4 × 18 1/4 in. (62.8 × 46.3 cm),Dataset\Georges Vantongerloo\curving-function-greenish-brown
52,Abigail Chesebrough (Mrs. Alexander Grant),Joseph Blackburn,1754,Oil on canvas,127.6 × 101.5 cm (50 × 40 in.),Dataset\Joseph Blackburn\abigail-chesebrough-mrs-alexander-grant
53,Portrait of a Man,School of Anthonis Mor,1565/70,Oil on panel,115.6 × 85.2 cm (45 1/2 × 33 9/16 in.),Dataset\School of Anthonis Mor\portrait-of-a-man
54,Bathing Nymph,François Boucher,1745/50,Oil on canvas,42.6 × 47.1 cm (16 3/4 × 18 1/2 in.),Dataset\François Boucher\bathing-nymph
55,"Waterloo Bridge, Gray Weather",Claude Monet,1900,Oil on canvas,65.4 × 92.6 cm (25 3/4 × 36 3/8 in.),Dataset\Claude Monet\waterloo-bridge-gray-weather
56,Landscape: Beautiful Scenery Frozen in Mist,Li Shizhuo,"Qing dynasty (1644–1911), 18th century",Hanging scroll; ink on paper,34 1/2 × 16 1/8 in.,Dataset\Li Shizhuo\landscape-beautiful-scenery-frozen-in-mist
57,Mephisto from the Opera Faust,Adolphe Joseph Thomas Monticelli,1870/86,Oil on panel,15 1/8 × 10 5/16 in. (38.5 × 26.2 cm),Dataset\Adolphe Joseph Thomas Monticelli\mephisto-from-the-opera-faust
58,Stacked Cow Skulls,Sam Messer,1982/83,Oil on linen,116.8 × 88.9 cm (46 × 35 in.),Dataset\Sam Messer\stacked-cow-skulls
59,"The Shelton with Sunspots, N.Y.",Georgia O'Keeffe,1926,Oil on canvas,123.2 × 76.8 cm (48 1/2 × 30 1/4 in.),Dataset\Georgia O'Keeffe\the-shelton-with-sunspots-n-y
60,Fish,Shepard Alonzo Mount,1842,Oil on panel,17.2 × 27.3 cm (6 3/4 × 10 3/4 in.),Dataset\Shepard Alonzo Mount\fish
61,The Order of the Angels (Die Ordnung der Engel),Anselm Kiefer,1983/84,"Oil, emulsion, shellac, straw, and lead on canvas",330 × 555 cm (130 × 218 1/2 in.),Dataset\Anselm Kiefer\the-order-of-the-angels-die-ordnung-der-engel
62,Two Washerwomen Crossing a Small Park in Paris,Jean-François Rafaëlli,c. 1890,Oil on panel,59.2 × 81 cm (23 5/16 × 31 7/8 in.),Dataset\Jean-François Rafaëlli\two-washerwomen-crossing-a-small-park-in-paris
63,John Newton,Thomas Hudson,c. 1757/60,Oil on canvas,50 × 40 in. (127 × 101.6 cm),Dataset\Thomas Hudson\john-newton
64,Self-Portrait (No. 1),Ivan Albright,1981,Oil and charcoal on hardboard,33 × 23.5 cm (3 × 9 1/2 in.),Dataset\Ivan Albright\self-portrait-no-1
65,Self-Portrait (No. 2),Ivan Albright,1981,Oil on hardboard,30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-2
66,Self-Portrait (No. 3),Ivan Albright,1981,Oil on hardboard,30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-3
67,Self-Portrait (No. 4),Ivan Albright,1981,"Charcoal, lithographic crayon, and pencil on hardboard",33 × 24.1 cm (13 × 9 1/2 in.),Dataset\Ivan Albright\self-portrait-no-4
68,Self-Portrait (No. 5),Ivan Albright,1981,Oil on hardboard,30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-5
69,Self-Portrait (No. 6),Ivan Albright,1981,Charcoal on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-6
70,Self-Portrait (No. 7),Ivan Albright,1981,Charcoal on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-7
71,Self-Portrait (No. 8),Ivan Albright,"October 5–12, 1982",Oil and graphite on hardboard,30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-8
72,Self-Portrait (No. 9),Ivan Albright,1982,Pastel on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-9
73,Self-Portrait (No. 10),Ivan Albright,1982,Oil on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-10
74,Self-Portrait (No. 11),Ivan Albright,1982,Charcoal and pastel on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-11
75,Self-Portrait (No. 12),Ivan Albright,1982,Oil on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-12
76,Self-Portrait (No. 13),Ivan Albright,1982,Oil on hardboard,33 × 24.1 cm (13 × 9 1/2 in.),Dataset\Ivan Albright\self-portrait-no-13
77,Self-Portrait (No. 14),Ivan Albright,1982,"Charcoal, white chalk, and colored pencil on hardboard",30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-14
78,Self-Portrait (No. 15),Ivan Albright,1982,"Charcoal, colored pencils, and black crayon on hardboard",30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-15
79,Self-Portrait (No. 16),Ivan Albright,1982,Oil on hardboard,33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-16
80,Self-Portrait (No. 17),Ivan Albright,June 1983,"Charcoal, black crayon, and graphite on hardboard",30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-17
81,Self-Portrait (No. 18),Ivan Albright,1983,Colored pencil on hardboard,30.5 × 25.4 cm (12 × 10 in.),Dataset\Ivan Albright\self-portrait-no-18
82,Self-Portrait (No. 19),Ivan Albright,1983,Colored pencil and graphite on hardboard,33 × 24.1 cm (13 × 9 1/2 in.),Dataset\Ivan Albright\self-portrait-no-19
83,Self-Portrait (No. 20),Ivan Albright,1983,"Pastel, graphite, and colored pencil on hardboard",33 × 25.4 cm (13 × 10 in.),Dataset\Ivan Albright\self-portrait-no-20
84,Rue Winterbotham Carpenter,Arthur Ambrose McEvoy,1920,Oil on canvas,76.2 × 63.5 cm (30 × 25 in.),Dataset\Arthur Ambrose McEvoy\rue-winterbotham-carpenter
85,Erratic Exhilaration,Ray Yoshida,1984,Acrylic on canvas,91.4 × 127 cm (36 × 50 in.),Dataset\Ray Yoshida\erratic-exhilaration
86,Ready for the Fiesta,William Penhallow Henderson,1920,Oil on cardboard,101.6 × 81.3 cm (40 × 32 in.),Dataset\William Penhallow Henderson\ready-for-the-fiesta
87,Floating in Spring on the River,Zhu Renfeng,Qing Dynasty (1644–1912); c.1810,Handscroll; ink and colors on paper,11 3/4 × 52 1/2 in.,Dataset\Zhu Renfeng\floating-in-spring-on-the-river
88,Mrs. Samuel Hall Williams (Abigail Swing),Thomas Eakins,1876,Oil on mahogany panel,22.9 × 15.2 cm (9 × 6 in.),Dataset\Thomas Eakins\mrs-samuel-hall-williams-abigail-swing
89,Untitled,Larry Poons,1968,Acrylic on canvas,304.8 × 548.6 cm (120 × 216 in.),Dataset\Larry Poons\untitled
90,E Special,Larry Poons,1971,Acrylic on canvas,237.5 × 182.9 cm (93 1/2 × 72 in.),Dataset\Larry Poons\e-special
91,Fjord,Mel Bochner,1984,Oil on canvas,236.2 × 238.8 cm (93 × 94 in.),Dataset\Mel Bochner\fjord
92,Saint Helen Testing the True Cross,Tintoretto,c. 1545,Oil on canvas,21.5 × 48.9 cm (8 1/2 × 19 3/8 in.),Dataset\Tintoretto\saint-helen-testing-the-true-cross
93,Samuel Fisher Bradford,Rembrandt Peale,1803/8,Oil on canvas,68.5 × 55.9 cm (27 × 22 in.),Dataset\Rembrandt Peale\samuel-fisher-bradford
94,The Wind,Julian Schnabel,1985,Spray enamel and modeling paste on tarpaulin,449.5 × 566.4 cm (177 × 223 in.),Dataset\Julian Schnabel\the-wind
95,Caliente,Ed Paschke,1985,Oil on canvas,203.2 × 254 cm (80 × 100 in.),Dataset\Ed Paschke\caliente
96,Mrs. Sanford Robinson Gifford (Mary Cecilia Gifford),Sanford Robinson Gifford,1878,Oil on paper mounted on canvas,20.8 × 18.1 cm (8 3/16 × 7 1/8 in.),Dataset\Sanford Robinson Gifford\mrs-sanford-robinson-gifford-mary-cecilia-gifford
97,"The Little Pond, Appledore",Childe Hassam,1890,Oil on canvas,40.6 × 55.8 cm (16 × 22 in.),Dataset\Childe Hassam\the-little-pond-appledore
98,The Battle between the Gods and the Giants,Joachim Antonisz. Wtewael,c. 1608,Oil on copper,6 1/8 × 8 in. (15.6 × 20.3 cm),Dataset\Joachim Antonisz. Wtewael\the-battle-between-the-gods-and-the-giants
99,"Houses on the Fox River, Illinois",Artist unknown,1881/90,Oil on panel,53.7 × 69.9 cm (21 1/8 × 27 1/2 in.),Dataset\Artist unknown\houses-on-the-fox-river-illinois
100,The Dance,Pietro Longhi,c. 1750,Oil on canvas,24 1/4 × 19 1/2 in.,Dataset\Pietro Longhi\the-dance
101,Birds on a Tree with Fruit and Autumn Foliage,Jiang Hong,Qing dynasty (1644–1911); late 17th century 清朝,"Hanging scroll, ink and colors on silk",49 3/4 × 18 7/8 in.,Dataset\Jiang Hong\birds-on-a-tree-with-fruit-and-autumn-foliage
102,Painting for Eli,David Salle,1983,"Acrylic on canvas, wood (diptych)",218.4 × 287 cm (86 × 113 in.),Dataset\David Salle\painting-for-eli
103,Broadway,William Conger,1985,Oil on canvas,182.9 × 304.8 cm (72 × 120 in.),Dataset\William Conger\broadway
104,Mountain Scene,Torvalt Arnt Hoyer,1940,Oil on canvas,76.8 × 61.9 cm (30 1/4 × 24 3/16 in.),Dataset\Torvalt Arnt Hoyer\mountain-scene
105,Sarah Dupont,Thomas Gainsborough,c. 1777–1779,Oil on canvas,77.2 × 64.5 cm (30 3/8 × 25 3/8 in.),Dataset\Thomas Gainsborough\sarah-dupont
106,"Portrait of the Katchef Dahouth, Christian Mameluke",Anne-Louis Girodet de Roussy-Trioson,1804,Oil on canvas,57 × 44 1/2 in. (144.7 × 133 cm),Dataset\Anne-Louis Girodet de Roussy-Trioson\portrait-of-the-katchef-dahouth-christian-mameluke
107,La Bonne Aventure (The Fortune Teller),Jean-Baptiste Pater,Unknown date,Oil on panel,7 6/16 × 9 7/16 in. (18.7 × 23.9 cm),Dataset\Jean-Baptiste Pater\la-bonne-aventure-the-fortune-teller
108,Saint John the Baptist Preaching in the Desert,Jean Baptiste Henri Deshays,1758/64,Oil on canvas,42.2 × 26.5 cm (16 5/8 × 10 7/16 in.),Dataset\Jean Baptiste Henri Deshays\saint-john-the-baptist-preaching-in-the-desert
109,Water Pavilion by Twin Pines,Guo Xi,"Yuan or early Ming dynasty, 14th–15th century",Hanging scroll; ink and light colors on paper,100.3 × 35.5 cm (39 1/2 × 14 in.),Dataset\Guo Xi\water-pavilion-by-twin-pines
110,Train Station,Walter Ellison,1935,Oil on cardboard,20 × 36 cm (8 × 14 in.),Dataset\Walter Ellison\train-station
111,Portrait of a Young Woman,Aert de Gelder,c. 1690,Oil on canvas,66.9 × 53.3 cm (26 5/16 × 21 in.),Dataset\Aert de Gelder\portrait-of-a-young-woman
112,Portrait of a Lady,Frans Hals,1627,Oil on canvas,34 1/4 x 27 13/16 in. (86.5 x 70.7 cm),Dataset\Frans Hals\portrait-of-a-lady
113,June Morning: Lake Orta,Oliver Dennett Grover,1913,Oil on canvas,96.5 × 119.4 cm (38 × 47 in.),Dataset\Oliver Dennett Grover\june-morning-lake-orta
114,TAKEN FROM HERE TO WHERE IT CAME FROM AND TAKEN TO A PLACE AND USED IN SUCH A MANNER THAT IT CAN ONLY REMAIN AS A REPRESENTATION OF WHAT IT WAS WHERE IT CAME FROM,Lawrence Weiner,1980,Language + materials referred to,Dimensions vary with installation,Dataset\Lawrence Weiner\taken-from-here-to-where-it-came-from-and-taken-to-a-place-and-used-in-such-a-manner-that-it-can-only-remain-as-a-representation-of-what-it-was-where-it-came-from
115,"Portrait of Luigi Edouardo Rossi, Count Pellegrino",Follower of Jean Auguste Dominique Ingres,c. 1820,Oil on canvas,25 1/4 × 21 1/8 in. (65.6 × 55 cm),Dataset\Follower of Jean Auguste Dominique Ingres\portrait-of-luigi-edouardo-rossi-count-pellegrino
116,"Bailey's Beach, Newport, R.I.",Childe Hassam,1901,Oil on canvas,61 × 66 cm (24 × 26 in.),Dataset\Childe Hassam\bailey-s-beach-newport-r-i
117,"Portrait of Elizabeth of Austria, Wife of King Charles IX of France",Imitator of François Clouet,after 1571,Oil on panel,14 1/8 × 10 7/16 in. (35.8 × 26.5 cm),Dataset\Imitator of François Clouet\portrait-of-elizabeth-of-austria-wife-of-king-charles-ix-of-france
118,Fête champêtre (Pastoral Gathering),Jean Antoine Watteau,1718/21,Oil on panel,48.6 × 64.5 cm (19 1/16 × 25 3/8 in.),Dataset\Jean Antoine Watteau\fete-champetre-pastoral-gathering
119,Mrs. Noah Smith and Family,Ezra Ames,c. 1830,Oil on canvas,160.5 × 112.7 cm (65 × 83 3/4 in.),Dataset\Ezra Ames\mrs-noah-smith-and-family
120,Page from a Copy of The Qur'an,Islamic,9th/10th century,Ink and color on vellum,15.5 × 23.3 cm (6 1/8 × 9 3/16 in.),Dataset\Islamic\page-from-a-copy-of-the-qur-an
121,Double Page from the Qur'an,Islamic,"Safavid dynasty (1501–1722), 16th century",Opaque watercolor and gold on paper,Each page 31.8 × 21.0 cm (12 1/2 × 8 1/4 in.),Dataset\Islamic\double-page-from-the-qur-an
122,Page from a Copy of The Qur'an,Islamic,16th/17th century,"Ink, colors, and gold on paper",31.1 × 21.2 cm (12 1/4 × 8 3/8 in.),Dataset\Islamic\page-from-a-copy-of-the-qur-an
123,Annunciation to the Shepherds,Jacopo Bassano,c. 1710,Oil on canvas,38 3/16 × 31 1/8 in. (97 × 79 cm),Dataset\Jacopo Bassano\annunciation-to-the-shepherds
124,Near Newport,John Frederick Kensett,1869,Oil on canvas,29.5 × 62.4 cm (11 5/8 × 24 1/4 in.),Dataset\John Frederick Kensett\near-newport
125,Man with a Pipe,Pablo Picasso,1915,Oil on canvas,51 1/4 × 35 1/4 in. (130.2 × 89.5 cm),Dataset\Pablo Picasso\man-with-a-pipe
126,Mother and Child,Pablo Picasso,1921,Oil on canvas,142.9 × 172.7 cm (56 1/4 × 68 in.),Dataset\Pablo Picasso\mother-and-child
127,Abstraction: Background with Blue Cloudy Sky,Pablo Picasso,"January 4, 1930",Oil on panel,26 × 19 3/8 in. (66 × 49.2 cm),Dataset\Pablo Picasso\abstraction-background-with-blue-cloudy-sky
128,The Host,Gerald McLaughlin,1955,Oil on masonite,114.3 × 251.4 cm (45 × 99 in.),Dataset\Gerald McLaughlin\the-host
129,"Fishing in Spring, the Pont de Clichy (Asnières)",Vincent van Gogh,1887,Oil on canvas,19 7/8 × 23 5/8 in. (50.5 × 60 cm),Dataset\Vincent van Gogh\fishing-in-spring-the-pont-de-clichy-asnieres
130,Virgin and Child with the Young Saint John the Baptist,Jacopo Bassano,1560/65,Oil on canvas,"Canvas: 79.5 × 90.5 cm (31 1/4 × 35 5/8 in.)
Stretcher: 73.7 × 84.5 cm (29 × 33 1/4 in.)",Dataset\Jacopo Bassano\virgin-and-child-with-the-young-saint-john-the-baptist
131,Clock,Bruce Conner,1961,Oil on canvas,127 × 76.2 cm (50 × 30 in.),Dataset\Bruce Conner\clock
132,Little Harbor in Normandy,Georges Braque,spring 1909,Oil on canvas,81.1 × 80.5 cm (32 × 31 3/4 in.),Dataset\Georges Braque\little-harbor-in-normandy
133,Bathers,Paul Cezanne,1890/94,Oil on canvas,22.6 × 35.4 cm (8 7/8 × 13 15/16 in.),Dataset\Paul Cezanne\bathers
134,Tobias and the Angel,"Pieter Mulier, (il Cavaliere Tempesta)",after 1684,Oil on canvas,77 1/2 × 97 3/4 in. (196.9 × 248.3 cm),"Dataset\Pieter Mulier, (il Cavaliere Tempesta)\tobias-and-the-angel"
135,America Windows,Marc Chagall,1977,Stained glass,96 × 385 in. (244 × 978 cm) (overall),Dataset\Marc Chagall\america-windows
136,Portrait of a Young Woman,Joachim Beuckelaer,1562,Oil on panel,16 3/4 × 12 3/4 in. (42.5 × 32.3 cm),Dataset\Joachim Beuckelaer\portrait-of-a-young-woman
137,Reminiscence of a Cathedral,František Kupka,1920/23,Oil on canvas,59 × 37 in. (149.9 × 94 cm),Dataset\František Kupka\reminiscence-of-a-cathedral
138,Portrait of Daniel Hudson Burnham,Arvid Frederik Nyholm,1920/30,Oil on canvas,76.2 × 63.5 cm (30 × 25 in.),Dataset\Arvid Frederik Nyholm\portrait-of-daniel-hudson-burnham
139,"Pine-Scented Wind, the Harmony of a Lute",Ko Fuyo,1752,Ink and colors on silk; hanging scroll,Painting: 34 1/2 x 11 3/8 in.; with mounting: 62 1/2 x 15 7/8 in.,Dataset\Ko Fuyo\pine-scented-wind-the-harmony-of-a-lute
140,Green Sea,Philip Guston,1976,Oil on canvas,177.8 × 294.6 cm (70 × 116 1/2 in.),Dataset\Philip Guston\green-sea
141,The Banks of the River Durance at Saint Paul,Paul Camille Guigou,1864,Oil on canvas,24 1/2 × 58 1/4 in. (62 × 148 cm),Dataset\Paul Camille Guigou\the-banks-of-the-river-durance-at-saint-paul
142,Love of Winter,George Wesley Bellows,1914,Oil on canvas,81.6 × 101.6 cm (32 1/2 × 40 1/2 in.),Dataset\George Wesley Bellows\love-of-winter
143,Fruits and Stringed Instrument,Georges Braque,1938,Oil and sand on canvas,32 × 39 3/8 in. (81.3 × 100 cm),Dataset\Georges Braque\fruits-and-stringed-instrument
144,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",Piet Mondrian,1921,Oil on canvas,60 × 60 cm (23 5/8 × 23 5/8 in.),Dataset\Piet Mondrian\lozenge-composition-with-yellow-black-blue-red-and-gray
